Address,Size,Function,stack,name
0x0000000000014210,2776,<pc_keyboard::KeyCode as core::fmt::Debug>::fmt::hda7c4f2f9fb20e82,,
0x0000000000008280,1416,blog_os::kernel_main::h7f109f414e18afd3,,
0x000000000000cc00,896,blog_os::interrupts::page_fault_handler::hf82cf137aee3c1b6,,
0x0000000000005400,728,alloc::raw_vec::RawVec<T,A>::reserve_internal::hd47e1d02b055d698,
0x000000000000a880,568,<core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::try_fold::ha720e2a3fd963112,,
0x000000000001e980,536,linked_list_allocator::hole::split_hole::h8cd04869f63b184f,,
0x0000000000011be0,488,core::char::methods::<impl char>::encode_utf8::hb2e42d637f91cc6f,,
0x00000000000067a0,472,x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P>::map_to_4kib::h739eecae18c0246f,,
0x0000000000017de0,472,<core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::try_fold::h8ea3f595a042de20,,
0x000000000000d310,440,blog_os::interrupts::keyboard_interrupt_handler::hbc9798af703df26d,,
0x0000000000008d20,408,blog_os::allocator::init_heap::h9c3bef88aadf22eb,,
0x000000000001a3c0,392,<x86_64::structures::idt::InterruptDescriptorTable as core::ops::index::IndexMut<usize>>::index_mut::h8be3ee8b7c0a3bca,,
0x000000000001f1a0,360,linked_list_allocator::hole::deallocate::hec70be14c3a8c7c3,,
0x000000000000ea50,328,spin::once::Once<T>::call_once::h0bbc2fb95b0c0c54,,
0x000000000001c3d0,328,x86_64::addr::PhysAddr::new::h522f2b79cdffd437,,
0x000000000001ef60,328,linked_list_allocator::hole::allocate_first_fit::h802cd350d750846b,,
0x000000000000d0d0,320,blog_os::interrupts::double_fault_handler::h05d0e1d2ca09bf93,,
0x000000000000ca80,312,blog_os::interrupts::breakpoint_handler::h1be0ae379fc59c4f,,
0x0000000000004f10,296,core::alloc::Layout::repeat::hc9569954143d47a6,,
0x000000000000a410,296,blog_os::memory::BootInfoFrameAllocator::usable_frames::h817e8c638175139b,,
0x000000000000ee90,280,spin::once::Once<T>::call_once::haf2b085f03484a3f,,
0x0000000000020c40,280,core::result::Result<T,E>::map::h37bb0489642d86b8,
0x000000000000d780,264,<core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next::h44033a1d2f82aaf3,
0x000000000000f8a0,264,core::ops::function::FnOnce::call_once::h0c05b83fc5bad6a7,,
0x000000000001d360,264,<u64 as bit_field::BitField>::set_bits::h47a415b9b506e3e8,,
0x0000000000009790,248,core::ptr::swap_nonoverlapping_bytes::h5f83baa9e1eafaf0,,
0x000000000000fda0,248,core::ptr::swap_nonoverlapping_bytes::heb3113328ce8bcd2,,
0x0000000000011460,248,blog_os::vga_buffer::Writer::new_line::hf15f000cc7d73608,,
0x0000000000013370,248,core::ptr::swap_nonoverlapping_bytes::h3ff657ff954c764a,,
0x000000000001db40,248,core::ptr::swap_nonoverlapping_bytes::he9050f57306ddb63,,
0x000000000001ae70,232,<x86_64::structures::idt::PageFaultErrorCode as core::fmt::Debug>::fmt::ha6c8a6009a8fb287,,
0x0000000000008bd0,216,rust_begin_unwind,,
0x000000000001ba90,216,x86_64::structures::gdt::Descriptor::tss_segment::h0619813c16a82535,,
0x0000000000006c50,200,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::create_next_table::h491473d4f154a4d0,,
0x000000000000e490,200,core::sync::atomic::atomic_compare_exchange::hf32954cac161223b,,
0x00000000000105e0,200,pc_keyboard::Keyboard<T,S>::add_byte::h5977c314a99f9df2,
0x000000000001cb60,200,<u16 as bit_field::BitField>::set_bits::hdc42aa85fb6c429c,,
0x0000000000005b40,184,alloc::raw_vec::RawVec<T,A>::amortized_new_size::h52b2e9936cdd6b6c,
0x000000000000f0c0,184,spin::once::Once<T>::call_once::heab7cfccded4cef8,,
0x000000000000d250,168,blog_os::interrupts::timer_interrupt_handler::h0642a20eb78acee5,,
0x0000000000019550,168,x86_64::structures::tss::TaskStateSegment::new::h0c6c54dd08aba21c,,
0x000000000000ec80,152,spin::once::Once<T>::call_once::h472211b2cb164ae6,,
0x000000000000f810,152,core::ops::function::FnOnce::call_once::h088d26d69d43d8db,,
0x000000000001acf0,152,<<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::Hex as core::fmt::Debug>::fmt::h14e78fef807e0cec,,
0x000000000001c1e0,152,<x86_64::addr::VirtAddr as core::fmt::Debug>::fmt::ha9f4e09d01426876,,
0x000000000001d120,152,<u64 as bit_field::BitField>::get_bits::h54dcb63ca6e9b958,,
