Address,Size,Function,stack,name
0x0000000000004130,272,blog_os::interrupts::page_fault_handler::h98b3318d6c4ff705,,
0x0000000000002960,264,blog_os::kernel_main::h44cfb55497ed624e,,
0x0000000000003bc0,248,spin::once::Once<T>::call_once::h6653ebe0f1309568,,
0x00000000000043a0,224,blog_os::interrupts::double_fault_handler::hef2e5697b10cc94b,,
0x0000000000004040,216,blog_os::interrupts::breakpoint_handler::h8a0b1ee731e065af,,
0x0000000000003cb0,200,spin::once::Once<T>::call_once::hd8582ddc822ac52c,,
0x0000000000006e40,200,x86_64::registers::control::x86_64::<impl x86_64::registers::control::Cr3>::read::h825613083c74e7df,,
0x0000000000006550,184,x86_64::structures::paging::page_table::PageTableEntry::frame::h1744a4ffacfd3fe2,,
0x0000000000007330,184,x86_64::addr::PhysAddr::new::h9ce3dd5f7e767e3e,,
0x0000000000004520,152,blog_os::interrupts::keyboard_interrupt_handler::h9e1ef80c54c79eea,,
0x0000000000004920,152,<blog_os::memory::BootInfoFrameAllocator as x86_64::structures::paging::frame_alloc::FrameAllocator<x86_64::structures::paging::page::Size4KiB>>::allocate_frame::heac20a8bf9af8ba1,,
0x0000000000002e70,136,rust_begin_unwind,,
0x0000000000004480,136,blog_os::interrupts::timer_interrupt_handler::hc3f1ce9a8140c26a,,
0x0000000000003050,88,<x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P> as x86_64::structures::paging::mapper::Mapper<x86_64::structures::paging::page::Size4KiB>>::map_to::hd98ec967e633e451,,
0x0000000000003e50,88,rust_oom,,
0x0000000000003320,72,blog_os::allocator::init_heap::h1e1e6c1c6e5aed8b,,
0x0000000000003930,72,x86_64::instructions::interrupts::without_interrupts::h663357a47d0727eb,,
0x00000000000068f0,72,<x86_64::structures::idt::InterruptDescriptorTable as core::ops::index::IndexMut<usize>>::index_mut::h1ccacce860a29f74,,
0x0000000000006c10,72,<<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::Hex as core::fmt::Debug>::fmt::h9963c271f1ab1143,,
0x0000000000007280,72,<x86_64::addr::VirtAddr as core::fmt::Debug>::fmt::h3ebee7e3720b28df,,
0x0000000000002fd0,56,<alloc::boxed::Box<T> as core::fmt::Pointer>::fmt::hc89e6d49bda93762,,
0x00000000000031b0,56,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::create_next_table::hc399993ce3f9c9e9,,
0x00000000000032a0,56,<&T as core::fmt::Pointer>::fmt::h6208c6710b548722,,
0x0000000000003610,56,<&mut W as core::fmt::Write>::write_fmt::h5566bef8e81939bb,,
0x00000000000049e0,56,<&mut I as core::iter::traits::iterator::Iterator>::next::hb6a70753b05700ee,,
0x0000000000006b30,56,<x86_64::structures::idt::InterruptStackFrame as core::fmt::Debug>::fmt::h22630bbdfabcf7e2,,
0x0000000000007080,56,x86_64::structures::gdt::Descriptor::tss_segment::h2f9159696ce4a01c,,
0x0000000000007490,56,<x86_64::addr::VirtAddrNotValid as core::fmt::Debug>::fmt::ha32848814bf6a84d,,
0x0000000000003f00,40,__rg_realloc,,
0x0000000000004c50,40,<pc_keyboard::KeyCode as core::fmt::Debug>::fmt::he38d8ff0bc044c29,,
0x00000000000074f0,40,<x86_64::structures::paging::mapper::MapToError as core::fmt::Debug>::fmt::h33740806859aff2a,,
0x00000000000079a0,40,linked_list_allocator::hole::HoleList::allocate_first_fit::h69c795e4a0ea9093,,
0x0000000000002f30,24,alloc::raw_vec::RawVec<T,A>::reserve::hae68b009c925b7a5,
0x00000000000047e0,24,pc_keyboard::Keyboard<T,S>::add_byte::h94e02bafdb205590,
0x00000000000048d0,24,blog_os::memory::init::ha2655bedfccdfa4a,,
0x0000000000006320,24,pic8259_simple::ChainedPics::initialize::h057cbc878ad5cf8b,,
0x0000000000006430,24,pic8259_simple::ChainedPics::notify_end_of_interrupt::h8c426b64c4cc95e0,,
0x0000000000006750,24,<&T as core::fmt::Debug>::fmt::hfd4474e0f11d3ba3,,
0x0000000000006870,24,core::fmt::num::<impl core::fmt::Debug for u64>::fmt::h2e19dc93bdc3ea76,,
0x0000000000006cc0,24,<x86_64::structures::idt::PageFaultErrorCode as core::fmt::Debug>::fmt::h7132dc80e49a39ab,,
0x0000000000007190,24,x86_64::addr::VirtAddr::new::h2ab68134f7dc9553,,
0x00000000000077c0,24,<linked_list_allocator::LockedHeap as core::alloc::GlobalAlloc>::alloc::ha522ab82f11ead81,,
0x00000000000078b0,24,<linked_list_allocator::LockedHeap as core::alloc::GlobalAlloc>::dealloc::h5bf8d493c886cd36,,
0x0000000000007b50,24,linked_list_allocator::hole::deallocate::hcfbd66caf4120462,,
0x00000000000068d0,16,x86_64::structures::idt::InterruptDescriptorTable::load::hf69447c41e44b20d,,
0x0000000000007040,16,x86_64::structures::gdt::GlobalDescriptorTable::load::hbcfbd6fceee7f9d5,,
0x00000000000028c0,8,core::mem::drop::h13dc0b582d57bc68,,
0x0000000000002910,8,alloc::alloc::exchange_malloc::he3702e853e817da6,,
0x0000000000002f20,8,_start,,
0x00000000000034a0,8,alloc::rc::Rc<T>::new::h0ccc8fb3a15d5621,,
0x0000000000003540,8,<&mut W as core::fmt::Write>::write_char::h468cf9ac5ea84572,,
0x0000000000003670,8,<&mut W as core::fmt::Write>::write_str::h47a01c3cc0bd614a,,
0x0000000000003680,8,<blog_os::vga_buffer::Writer as core::fmt::Write>::write_str::h0d36d60211826bc2,,
0x0000000000003dd0,8,blog_os::init::haa6b96d9fd0e80ed,,
0x0000000000003f80,8,blog_os::interrupts::init_idt::hd8c7fe945fefeb49,,
0x0000000000004be0,8,<bootloader::bootinfo::memory_map::MemoryMap as core::ops::deref::Deref>::deref::hbfa624ab8f62e8f1,,
0x0000000000006050,8,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::map_scancode::ha95bb0f200156db5,,
0x0000000000006280,8,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::map_extended_scancode::hc28a32a3a278b1b1,,
0x00000000000066a0,8,x86_64::structures::paging::page_table::PageTableEntry::set_frame::hc3c9eca840b2ff16,,
0x00000000000066f0,8,<x86_64::structures::paging::page_table::PageTable as core::ops::index::Index<ux::u9>>::index::hd71a4b9730519ea1,,
0x0000000000006720,8,<x86_64::structures::paging::page_table::PageTable as core::ops::index::IndexMut<ux::u9>>::index_mut::hbae9d389611fd97b,,
0x0000000000006b10,8,x86_64::structures::idt::EntryOptions::set_stack_index::h55f3342fa49b748e,,
0x0000000000006c80,8,"x86_64::structures::idt::Entry<extern ""x86.interrupt"" fn(&mut x86_64::structures::idt::InterruptStackFrame)>::set_handler_fn::h416f5ea711cbd926",,
0x0000000000006fd0,8,x86_64::structures::gdt::GlobalDescriptorTable::add_entry::hfe38de7d1ab08be0,,
0x0000000000007310,8,<x86_64::addr::VirtAddr as core::ops::arith::Sub<u64>>::sub::h2de2d0ccf51c3a93,,
0x0000000000007460,8,x86_64::addr::align_down::hc399b40f66eb0621,,
0x0000000000007550,8,<u16 as bit_field::BitField>::set_bits::h0266ec7a682e27a4,,
0x00000000000075f0,8,<u64 as bit_field::BitField>::get_bits::haa1d1416fa3e7f0e,,
0x0000000000007650,8,<u64 as bit_field::BitField>::set_bits::ha9594f3e54480c4c,,
0x00000000000076e0,8,<u16 as bit_field::BitField>::set_bit::hdebe56cd895e9584,,
0x0000000000007720,8,<u64 as bit_field::BitField>::get_bit::h0505fc77ef7f2b3d,,
