address,Size,Function,,
0x0000000000003de0,8248,spin::once::Once<T>::call_once::h81ce430b91fc8bc5,,
0x00000000000069a0,3720,x86_64::structures::idt::InterruptDescriptorTable::new::hff84b1851a4e5332,,
0x0000000000004040,272,blog_os::interrupts::page_fault_handler::hca19ad914c532427,,
0x0000000000002970,264,blog_os::kernel_main::h19c30b4a6b5987ca,,
0x0000000000003bd0,248,spin::once::Once<T>::call_once::h2f5108dccf49a89d,,
0x00000000000042b0,224,blog_os::interrupts::double_fault_handler::h4ec546376c7b18fa,,
0x0000000000003f50,216,blog_os::interrupts::breakpoint_handler::hf688b86a949e678e,,
0x0000000000003cc0,200,spin::once::Once<T>::call_once::h3e82c184fcdecb43,,
0x00000000000073a0,200,x86_64::registers::control::x86_64::<impl x86_64::registers::control::Cr3>::read::h825613083c74e7df,,
0x0000000000006620,184,x86_64::structures::paging::page_table::PageTableEntry::frame::h1744a4ffacfd3fe2,,
0x0000000000007890,184,x86_64::addr::PhysAddr::new::h9ce3dd5f7e767e3e,,
0x0000000000004430,152,blog_os::interrupts::keyboard_interrupt_handler::hc5c9d54c36be5642,,
0x00000000000049f0,152,<blog_os::memory::BootInfoFrameAllocator as x86_64::structures::paging::frame_alloc::FrameAllocator<x86_64::structures::paging::page::Size4KiB>>::allocate_frame::h1e48ed39f32f7e40,,
0x0000000000002e80,136,rust_begin_unwind,,
0x0000000000004390,136,blog_os::interrupts::timer_interrupt_handler::ha109d2365bfd010e,,
0x0000000000003060,88,<x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P> as x86_64::structures::paging::mapper::Mapper<x86_64::structures::paging::page::Size4KiB>>::map_to::h53466ff09aa48da2,,
0x0000000000004790,88,rust_oom,,
0x0000000000003330,72,blog_os::allocator::init_heap::he1860d1b9519ec8d,,
0x0000000000003940,72,x86_64::instructions::interrupts::without_interrupts::h1ee8fe053252a066,,
0x0000000000006e50,72,<x86_64::structures::idt::InterruptDescriptorTable as core::ops::index::IndexMut<usize>>::index_mut::h1ccacce860a29f74,,
0x0000000000007170,72,<<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::Hex as core::fmt::Debug>::fmt::h9963c271f1ab1143,,
0x00000000000077e0,72,<x86_64::addr::VirtAddr as core::fmt::Debug>::fmt::h3ebee7e3720b28df,,
0x0000000000002fe0,56,<alloc::boxed::Box<T> as core::fmt::Pointer>::fmt::h39d65431e964280d,,
0x00000000000031c0,56,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::create_next_table::he3dd9be9b7784125,,
0x00000000000032b0,56,<&T as core::fmt::Pointer>::fmt::h2ce0042c5b688844,,
0x0000000000003620,56,<&mut W as core::fmt::Write>::write_fmt::h0e8a0bdfeee4d29e,,
0x0000000000004ab0,56,<&mut I as core::iter::traits::iterator::Iterator>::next::hec04cde8c1538832,,
0x0000000000007090,56,<x86_64::structures::idt::InterruptStackFrame as core::fmt::Debug>::fmt::h22630bbdfabcf7e2,,
0x00000000000075e0,56,x86_64::structures::gdt::Descriptor::tss_segment::h2f9159696ce4a01c,,
0x00000000000079f0,56,<x86_64::addr::VirtAddrNotValid as core::fmt::Debug>::fmt::ha32848814bf6a84d,,
0x0000000000004840,40,__rg_realloc,,
