Address,Size,Function,,
0x000000000000ad90,8280,spin::once::Once<T>::call_once::h51bca0b20078dc27,,
0x0000000000022100,4200,x86_64::structures::idt::InterruptDescriptorTable::new::hd32c5c9dadb04897,,
0x000000000001a830,4184,core::ops::function::FnOnce::call_once::hee973ff0694526b7,,
0x000000000001aa40,2776,<pc_keyboard::KeyCode as core::fmt::Debug>::fmt::hda7c4f2f9fb20e82,,
0x0000000000006ee0,1304,blog_os::kernel_main::hc3a3a2c983130cd8,,
0x0000000000003960,832,blog_os::interrupts::page_fault_handler::h204c58ca3e079357,,
0x0000000000013900,728,core::fmt::Formatter::pad::h627264a917b3c4e5,,
0x0000000000012cc0,680,core::fmt::write::h801a5942bd4f2d29,,
0x000000000000f530,664,core::str::slice_error_fail::h47952a95b7854545,,
0x00000000000091e0,584,alloc::raw_vec::RawVec<T,A>::reserve_internal::hd4e99595f603af87,
0x000000000000fd60,568,core::fmt::num::<impl core::fmt::Debug for usize>::fmt::ha2da74a7ad1a2c44,,
0x00000000000150b0,568,<&T as core::fmt::Debug>::fmt::h4575bd3090a35f3e,,
0x0000000000010b80,552,<&T as core::fmt::Debug>::fmt::heaf94685e2f3bcd0,,
0x000000000000e3d0,536,<core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::try_fold::h4ad520a84f3bed29,,
0x0000000000018400,520,linked_list_allocator::hole::split_hole::h8cd04869f63b184f,,
0x0000000000012310,504,core::fmt::Formatter::pad_integral::hf0b4b738c73256c9,,
0x0000000000015820,504,<core::fmt::builders::PadAdapter as core::fmt::Write>::write_str::h5637cd67c85736d2,,
0x000000000001ebf0,504,<core::slice::Iter<T> as core::iter::traits::iterator::Iterator>::try_fold::h8ea3f595a042de20,,
0x000000000001d1f0,424,<pc_keyboard::layouts::Us104Key as pc_keyboard::KeyboardLayout>::map_keycode::h6e26a033f41db83f,,
0x0000000000003f60,392,blog_os::interrupts::keyboard_interrupt_handler::h31ae3e37d03c3286,,
0x000000000000c610,392,blog_os::allocator::init_heap::h79c3e04e2732fc4d,,
0x0000000000006510,376,x86_64::structures::paging::mapper::mapped_page_table::MappedPageTable<P>::map_to_4kib::h1a4fa30c2dd68e2f,,
0x0000000000011510,376,core::slice::memchr::memchr::ha978feab483e290f,,
0x0000000000015ec0,376,core::fmt::builders::DebugStruct::field::h307ed9a17e0d136a,,
0x0000000000022740,376,<x86_64::structures::idt::InterruptDescriptorTable as core::ops::index::IndexMut<usize>>::index_mut::h8be3ee8b7c0a3bca,,
0x0000000000024350,360,x86_64::addr::PhysAddr::new::h522f2b79cdffd437,,
0x00000000000163a0,328,core::fmt::builders::DebugTuple::field::haceb425ad3702917,,
0x00000000000205c0,312,core::char::methods::<impl char>::encode_utf8::h6074fd8d30833191,,
0x000000000000b650,296,spin::once::Once<T>::call_once::he11905dbe571be8d,,
0x00000000000111f0,296,<core::panic::PanicInfo as core::fmt::Display>::fmt::h29f0657aa36d80a2,,
0x0000000000017df0,296,linked_list_allocator::hole::deallocate::hec70be14c3a8c7c3,,
0x0000000000003d70,288,blog_os::interrupts::double_fault_handler::hc7d5cef9d4dbb6b4,,
0x0000000000003830,280,blog_os::interrupts::breakpoint_handler::h34d1ce3c11578d06,,
0x0000000000005a10,280,blog_os::memory::BootInfoFrameAllocator::usable_frames::h1c5c945ba5592770,,
0x0000000000017bb0,280,linked_list_allocator::hole::allocate_first_fit::h802cd350d750846b,,
0x000000000001a6e0,280,core::ops::function::FnOnce::call_once::hddea04e91c2cc9a7,,
0x0000000000004b40,264,<core::iter::adapters::flatten::FlattenCompat<I,U> as core::iter::traits::iterator::Iterator>::next::h918272962cca734b,
0x000000000000ece0,264,core::fmt::num::<impl core::fmt::UpperHex for i32>::fmt::h2303c95053b5b17c,,
0x000000000000ee50,264,core::fmt::num::<impl core::fmt::LowerHex for i64>::fmt::hc1c94fab8b0d61ff,,
0x000000000000efd0,264,core::fmt::num::<impl core::fmt::UpperHex for i64>::fmt::h40d389384752d7b9,,
0x0000000000011cf0,264,core::unicode::printable::check::h7bcb975d7457727c,,
0x000000000001a140,264,core::result::Result<T,E>::map::h37bb0489642d86b8,
0x0000000000005570,248,core::ptr::swap_nonoverlapping_bytes::h18d89dce259958f1,,
0x0000000000008460,248,core::ptr::swap_nonoverlapping_bytes::h75901089d69fbb7f,,
0x000000000000b410,248,spin::once::Once<T>::call_once::hd86b9d8a2726fd3a,,
0x000000000000d210,248,<u64 as bit_field::BitField>::set_bits::h47a415b9b506e3e8,,
0x000000000000dc20,248,core::ptr::swap_nonoverlapping_bytes::h3ff657ff954c764a,,
0x0000000000014810,248,<char as core::fmt::Debug>::fmt::h4e37e5035d5fc633,,
0x0000000000018a20,248,core::ptr::swap_nonoverlapping_bytes::he9050f57306ddb63,,
0x0000000000023bf0,232,x86_64::structures::gdt::Descriptor::tss_segment::h0619813c16a82535,,
0x0000000000008910,216,core::sync::atomic::atomic_compare_exchange::h3369ca20c0f04642,,
0x000000000000bc60,216,blog_os::vga_buffer::Writer::new_line::hcea22d6c3887be30,,
0x0000000000023170,216,<x86_64::structures::idt::PageFaultErrorCode as core::fmt::Debug>::fmt::ha6c8a6009a8fb287,,
0x0000000000006dc0,200,rust_begin_unwind,,
0x0000000000007790,200,core::alloc::Layout::repeat::hd80cb74913e07458,,
0x000000000000f2b0,200,core::fmt::num::imp::<impl core::fmt::Display for u64>::fmt::ha69aa098b82becf9,,
0x0000000000010400,200,core::fmt::num::imp::<impl core::fmt::Display for u32>::fmt::hca1f9c47535ecdfc,,
0x0000000000012090,200,core::fmt::ArgumentV1::show_usize::h77c12ca414192f73,,
0x0000000000003ea0,184,blog_os::interrupts::timer_interrupt_handler::hde93c8eda1b95778,,
0x00000000000068d0,184,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::create_next_table::h6d67468718f9ecf3,,
0x0000000000009e90,168,pc_keyboard::Keyboard<T,S>::add_byte::hce086417d9d42ea6,
0x000000000000cab0,168,<u16 as bit_field::BitField>::set_bits::hdc42aa85fb6c429c,,
0x0000000000019560,168,core::sync::atomic::atomic_compare_exchange::h123c7dff32a5c6a2,,
0x0000000000021560,168,x86_64::structures::tss::TaskStateSegment::new::h0c6c54dd08aba21c,,
0x0000000000022cb0,168,<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::h11689f2e53ca0424,,
0x0000000000009740,152,alloc::raw_vec::RawVec<T,A>::amortized_new_size::hf48a74cc4048d775,
0x0000000000010690,152,<core::alloc::Layout as core::fmt::Debug>::fmt::h9abd53559276c4df,,
0x000000000001a5f0,152,core::ops::function::FnOnce::call_once::h93cf1a9510e734a2,,
0x0000000000005970,136,<blog_os::memory::BootInfoFrameAllocator as x86_64::structures::paging::frame_alloc::FrameAllocator<x86_64::structures::paging::page::Size4KiB>>::allocate_frame::h8a7851677ce718f6,,
0x000000000000b1d0,136,spin::once::Once<T>::call_once::h822cd16f859954ae,,
0x000000000000d010,136,<u64 as bit_field::BitField>::get_bits::h54dcb63ca6e9b958,,
0x00000000000109d0,136,<core::num::TryFromIntError as core::fmt::Debug>::fmt::hc0dc7224abf98a48,,
0x0000000000021fe0,136,x86_64::structures::paging::mapper::mapped_page_table::PageTableWalker<P>::next_table_mut::h36b1b89fab3ea31e,,
0x0000000000022ea0,136,<<x86_64::structures::idt::InterruptStackFrameValue as core::fmt::Debug>::fmt::Hex as core::fmt::Debug>::fmt::h14e78fef807e0cec,,
0x0000000000004d60,120,core::iter::traits::iterator::Iterator::map::hd1c5dda3b9bad696,,
0x0000000000004db0,120,core::iter::adapters::flatten::FlatMap<I,U,F>::new::h081ebbda5f6897db
0x0000000000006240,120,rust_oom,,
0x000000000000bf40,120,blog_os::vga_buffer::Writer::clear_row::h4bc42b99f4ef97cf,,
0x0000000000010860,120,<core::alloc::LayoutErr as core::fmt::Debug>::fmt::hd5c2478a35a1ae38,,
0x0000000000011480,120,core::result::unwrap_failed::h4cfa9807cb83760a,,
0x00000000000171c0,120,core::result::Result<T,E>::map::h5a1d7aa65cdf09ea,
0x0000000000017b20,120,linked_list_allocator::hole::HoleList::allocate_first_fit::h970d66a4431a79a7,,
0x000000000001c620,120,<pc_keyboard::scancodes::ScancodeSet1 as pc_keyboard::ScancodeSet>::map_scancode::h9b88f198796240ba,,
0x000000000001e9f0,120,core::iter::adapters::Map<I,F>::new::h4826d4da5444f08c,
0x000000000001f9c0,120,<core::iter::LoopState<C,B> as core::cmp::PartialEq>::eq::h48c21cb7850ea7de,
0x000000000001fea0,120,core::sync::atomic::AtomicUsize::compare_and_swap::h38be2cb5b43cd823,,
0x0000000000021ea0,120,<x86_64::structures::paging::mapper::MapToError as core::fmt::Debug>::fmt::h5a7aaed5f5d4f8b4,,
0x0000000000023e30,120,<x86_64::addr::VirtAddr as core::fmt::Debug>::fmt::ha9f4e09d01426876,,
0x0000000000008fa0,104,blog_os::vga_buffer::_print::{{closure}}::h74c08258458b7c00,,
0x000000000000a4d0,104,core::option::Option<T>::map::h757788c031e438f6,,
